SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
371713,37.9559,-84.3430,-49.5857,2.5835,-1.0540,1.6793,0
371880,65.1924,-85.2299,-77.3212,2.2412,-1.5980,2.8514,0
372047,88.2908,-85.4546,-100.9799,2.2460,-1.8673,1.9026,0
372213,106.3297,-84.6499,-119.3772,1.8291,-0.6568,1.8754,0
372380,117.4844,-83.8431,-130.7677,1.7019,-0.6511,2.5797,0
372547,122.4086,-83.3284,-135.8539,1.6931,-1.5196,4.5383,0
372713,121.9390,-83.4620,-135.3408,2.1942,-2.2606,5.0763,0
372880,113.9767,-83.5960,-127.0012,2.2111,-1.1692,3.4339,0
373047,102.9409,-83.7760,-115.5897,1.7385,0.2298,1.7712,0
373213,91.5197,-84.2035,-103.8427,1.4048,0.3929,1.6660,0
373380,74.8203,-84.8541,-86.7369,1.6074,-0.8474,3.7909,0
373547,48.8193,-84.5411,-60.2108,2.3108,-1.0867,3.8306,0
373713,30.2499,-82.5504,-41.0272,2.0834,0.0687,1.4942,0
373880,19.7604,-80.0533,-29.9843,1.4321,0.5370,0.2994,0
374047,13.4664,-77.2631,-23.2525,1.1665,0.4882,0.4963,0
374213,7.7265,-74.1849,-17.1162,1.7024,-0.0359,1.9158,0
374380,2.8787,-70.5189,-11.7413,2.4214,0.0220,2.3632,0
374547,-0.5389,-66.2061,-7.7355,2.6610,0.0416,0.3125,0
374713,-1.3497,-61.8894,-6.5198,0.7376,0.6903,-3.3279,0
374880,-1.1278,-57.9714,-6.6163,-0.5085,0.8504,-2.7725,0
375047,-1.2483,-54.2059,-6.3433,0.5146,-0.1780,-1.0348,0
375213,-1.6264,-50.1525,-5.5891,2.2713,-1.1397,0.3540,0
375380,-2.5238,-45.7309,-3.9504,1.6584,-0.6396,-1.2471,0
375547,-3.5101,-41.7137,-2.1274,-1.4635,1.3057,-3.2801,0
375713,-4.2969,-38.1623,-0.7404,-1.4064,1.7724,-2.0839,0
375880,-4.9502,-34.6639,0.3921,-0.0750,-0.0916,-1.5814,0
376047,-5.1750,-30.9616,1.0130,0.7364,-0.8270,-1.6440,0
376213,-5.0249,-27.1135,1.4117,-0.0111,-0.5477,-2.1584,0
376380,-4.6952,-23.5477,1.5951,-1.8568,0.0555,-2.0521,0
376547,-4.4643,-20.2441,1.5844,-1.4463,0.2227,-1.3159,0
376713,-4.2691,-16.9369,1.4769,0.0998,-0.0642,-1.1572,0
376880,-3.8920,-13.7753,1.6551,-0.9976,-0.8840,-1.6582,0
377047,-3.1080,-11.0855,1.9285,-2.2303,-0.5065,-1.0373,0
377213,-2.1980,-8.8823,2.0538,-2.7272,0.5116,0.0220,0
377380,-1.4808,-7.0663,2.0873,-2.1374,0.7785,0.3873,0
377547,-1.0011,-5.3629,1.9415,-1.1542,0.8346,0.3361,0
377713,-0.7129,-3.6682,1.6784,-1.5555,0.2319,0.3443,0
377880,-0.3935,-2.3085,1.3997,-2.6705,-0.3013,0.4938,0
378047,-0.0133,-1.3696,1.1264,-2.0508,0.0208,0.6650,0
378213,0.3092,-0.5764,0.7849,-0.9892,0.3795,0.5049,0
378380,0.5576,0.1363,0.5407,-1.0241,0.5044,0.5765,0
378547,0.7193,0.7492,0.3190,-0.9927,0.4102,0.6467,0
378713,0.8046,1.2039,0.1544,-1.3720,0.0420,0.7229,0
378880,0.8705,1.4437,-0.0409,-1.2194,-0.0439,0.6652,0
379047,0.9258,1.5492,-0.1687,-0.7178,-0.0290,0.4529,0
379213,0.9635,1.5983,-0.2600,-0.4176,0.1516,0.4095,0
379380,0.9545,1.6324,-0.3405,-0.2449,0.1753,0.3869,0
379547,0.8718,1.6952,-0.4998,-0.1801,0.0338,0.2962,0
379713,0.7707,1.7496,-0.7152,-0.3369,-0.1768,0.2616,0
379880,0.7086,1.7430,-0.8414,-0.1597,-0.0277,0.1639,0
380047,0.6878,1.6556,-0.8594,-0.3942,0.0664,0.3289,0
380213,0.6503,1.4870,-0.9100,-0.2001,0.1923,0.3072,0
380380,0.5192,1.3510,-1.0178,0.0272,0.2430,0.2308,0
380547,0.3292,1.2486,-1.2388,-0.0843,0.0494,0.1111,0
380713,0.1804,1.1244,-1.4382,-0.0293,-0.1638,-0.1097,0
380880,0.1697,0.8917,-1.4859,-0.3685,-0.1925,-0.0374,0
381047,0.2374,0.4518,-1.4124,-0.5872,0.1942,0.2978,0
381213,0.2653,-0.1773,-1.2551,-0.5677,0.2740,0.3724,0
381380,0.2794,-1.0328,-0.9406,-0.8140,0.1080,0.3390,0
381547,0.3834,-2.2338,-0.3590,-1.1476,0.0528,0.2434,0
381713,0.6100,-3.7482,0.4633,-0.8068,0.1393,0.1715,0
381880,0.8590,-5.4673,1.3483,-0.8136,0.2345,0.3221,0
382047,1.0584,-7.4002,2.1941,-1.3340,0.2431,0.4292,0
382213,1.1552,-9.6445,3.0737,-1.7999,0.0862,0.3794,0
382380,1.1078,-12.1919,3.9902,-1.4558,0.4244,0.1496,0
382547,0.8764,-14.7608,4.9998,0.0497,0.8077,0.0511,0
382713,0.5107,-17.2387,6.1732,-0.1970,0.2450,-0.2290,0
382880,0.1008,-19.6826,7.2447,-0.6125,0.0803,-0.2138,0
383047,-0.4067,-22.1286,8.1623,-0.9339,-0.0435,-0.2923,0
383213,-0.9730,-24.6044,8.6955,-1.4202,-0.0159,-0.3972,0
383380,-1.6181,-27.1030,8.8785,-0.9226,-0.0204,-0.6900,0
383547,-2.2544,-29.4632,8.9011,0.2336,-0.0118,-0.7102,0
383714,-2.7588,-31.6960,8.7437,-0.4139,0.1906,-0.8778,0
383880,-3.1981,-34.0414,8.2797,-1.7240,0.2600,-0.9845,0
384047,-3.8244,-36.6676,7.5151,-2.4350,0.6614,-1.3849,0
